id xcenter ycenter aperture_sum
1 171.6962 2.7166488 1427.1113
2 864.90836 2.7990088 1381.7748
3 1874.1875 2.6867247 2196.1662
4 1252.3537 3.0458317 3267.8442
5 151.67454 4.2481522 1630.1832
6 842.21381 3.970117 2582.4688
7 180.93425 4.9454235 1658.817
8 290.41464 4.9933645 364.21459
9 816.26042 5.0596638 2409.337
10 270.4502 6.1230158 294.17325
11 358.20239 5.7551558 836.84252
12 1000.7299 6.3632328 450.01891
13 673.98621 7.3150746 189.15543
14 1474.2074 7.9218929 773.17149
15 1649.5869 7.4151717 380.62955
16 1501.0868 9.3477117 700.52815
17 1594.0154 8.7971622 407.11521
18 1871.3509 8.4933325 624.83032
19 1519.9126 9.5999869 393.57196
20 1923.4335 9.49381 3608.4952
21 754.57233 10.644415 1518.0695
22 783.36193 11.483812 1173.2977
23 1851.4365 11.012482 771.22613
24 446.25997 11.978452 65.3147
25 1065.2101 12.494185 468.02659
26 1565.7656 11.87498 848.1959
27 1537.3844 12.524679 376.7733
28 1940.6592 12.695545 1251.2402
29 620.62016 13.78043 287.27432
30 1052.6455 13.688621 293.47318
31 1570.7911 13.739688 549.53219
32 1376.2842 14.780708 4676.1172
33 898.56649 16.656459 16607.908
34 915.23519 19.047252 599.23777
35 979.52301 19.380978 5536.8981
36 656.1328 21.462628 191.85415
37 222.90977 22.030007 1756.4099
38 1972.0416 22.161399 317.16016
39 1775.6841 23.018266 12885.525
40 814.431 24.099148 4834.9081
41 1203.2458 23.346259 176.99986
42 1725.7767 26.354898 200602.83
43 1184.4204 28.318062 732.20552
44 1712.5289 27.65866 365.79952
45 1900.5611 27.788744 1542.585
46 1549.8462 29.637874 151.227
47 1793.0147 29.224206 339.8726
48 1877.335 28.955574 508.63563
49 1380.2088 29.579615 2526.2938
50 1772.0863 30.584524 231.23093
51 957.06699 32.12566 1719.7228
52 86.696383 33.219107 549.54531
53 190.7387 33.649033 38.179487
54 412.91159 34.47849 1431.1323
55 1943.1979 33.44292 539.23638
56 594.45161 34.9265 402.97306
57 1457.2681 35.670627 1629.5536
58 1530.1135 36.254075 563.63731
59 2015.4016 36.065372 1151.9054
60 156.4368 37.141769 1869.3115
61 1130.7225 36.655072 409.67668
62 1273.443 36.672382 429.09786
63 510.57013 37.782268 982.5626
64 1174.4341 38.102202 808.7968
65 325.99646 39.100557 510.79006
66 1210.6932 40.335262 330.57097
67 1881.9279 40.370126 11605.124
68 232.63731 41.518102 213.70444
69 1113.8067 41.031516 246.27728
70 1968.4235 40.795182 301.34502
71 432.51549 41.87518 25390.695
72 2033.8782 41.791409 2036.6236
73 1155.1316 43.54332 774.80488
74 1131.2135 43.780206 1595.1569
75 1149.0307 44.243863 784.58036
76 1833.1579 43.878316 1870.1177
77 1931.306 43.411361 3017.5009
78 1032.1102 44.793389 380.66193
79 1821.4684 45.242163 695.07733
80 1269.1742 45.618605 1424.0356
81 1795.1734 45.711443 790.3626
82 580.55025 47.200067 830.85401
83 1314.3895 46.678519 723.88832
84 228.066 48.182794 838.13026
85 1055.0754 47.713813 428.70724
86 661.96247 50.620175 509.70042
87 795.996 50.301009 2147.3596
88 1298.3842 51.291395 222.11056
89 1451.6797 51.028462 106.01783
90 1116.2772 52.023346 6183.5607
91 348.64089 53.384594 1222.1896
92 765.15915 53.239864 1474.9082
93 407.33599 53.63638 2067.5495
94 1151.2896 54.407268 881.5185
95 1816.5568 54.271452 802.05662
96 1722.0461 55.96621 8765.3883
97 527.15473 57.102607 817.74103
98 951.61801 56.784942 33557.721
99 987.82935 57.001523 541.2177
100 1373.3281 58.204177 831.49427
