Wavelength,Flux,BestFit,SkyFlux
3811.536,22.13,28.228,6.4
3812.412,22.298,30.365,6.733
3813.292,27.394,27.097,6.642
3814.169,30.554,26.335,6.828
3815.048,25.38,28.97,6.87
3815.926,20.213,27.949,6.957
3816.806,25.464,22.749,7.004
3817.684,25.059,27.361,6.942
3818.562,13.008,27.081,6.745
3819.443,29.006,28.042,6.545
3820.322,22.865,29.408,6.356
3821.202,25.831,25.93,6.149
3822.082,22.448,24.633,5.946
3822.963,28.05,27.657,5.702
3823.842,26.038,24.325,5.528
3824.724,23.586,21.74,5.34
3825.604,25.624,24.358,5.224
3826.484,25.556,27.747,5.196
3827.366,28.295,26.265,5.588
3828.247,27.843,25.913,6.819
3829.13,23.391,24.12,9.305
3830.011,24.979,21.615,11.303
3830.894,22.14,22.086,11.108
3831.775,23.066,23.87,10.765
3832.657,18.859,18.883,10.802
3833.54,22.224,21.979,10.14
3834.422,27.308,24.993,9.022
3835.307,19.512,25.607,8.364
3836.189,30.761,26.618,8.364
3837.073,22.911,28.535,8.343
3837.956,23.028,26.929,7.573
3838.839,23.742,27.23,6.529
3839.724,23.795,26.844,5.836
3840.608,24.795,25.001,5.651
3841.493,25.32,24.201,5.732
3842.377,25.348,25.064,5.705
3843.263,25.347,23.24,5.519
3844.147,24.779,22.807,5.647
3845.032,25.567,25.772,6.408
3845.918,24.278,24.209,7.22
3846.803,24.73,20.76,7.16
3847.69,24.816,20.732,6.281
3848.575,27.825,18.312,5.48
3849.463,25.464,22.077,5.362
3850.348,21.135,24.862,5.701
3851.234,20.917,25.066,5.816
3852.122,22.278,24.057,5.233
3853.008,24.095,24.229,4.285
3853.897,27.769,26.536,3.945
3854.783,24.35,21.854,4.39
3855.672,20.428,22.785,4.76
3856.559,20.707,22.751,4.546
3857.446,27.728,21.035,4.049
3858.336,26.828,22.622,3.579
3859.223,22.795,24.323,3.349
3860.113,26.016,24.623,3.411
3861.001,29.056,25.857,3.826
3861.892,28.688,27.241,4.588
3862.78,25.814,23.68,5.095
3863.669,19.562,19.096,5.157
3864.56,17.492,28.7,4.755
3865.449,23.671,25.193,4.414
3866.34,24.301,22.952,4.257
3867.23,23.777,24.086,4.328
3868.121,26.367,24.472,4.39
3869.011,26.403,22.643,4.171
3869.901,24.408,22.308,3.506
3870.794,28.524,25.372,2.773
3871.684,24.374,26.302,2.45
3872.577,23.834,23.987,2.842
3873.468,23.176,21.196,3.744
3874.361,22.889,20.596,4.501
3875.252,19.895,21.448,4.747
3876.144,24.64,22.751,4.62
3877.038,27.124,22.523,4.462
3877.93,20.11,20.655,4.363
3878.824,23.038,20.379,4.12
3879.716,24.335,23.844,3.699
3880.611,27.756,26.759,3.392
3881.504,27.922,24.821,3.343
3882.396,24.687,21.463,3.531
3883.292,23.796,21.228,3.702
3884.185,23.615,24.108,3.609
3885.081,27.603,27.107,3.416
3885.975,30.114,28.631,3.224
3886.871,25.032,28.626,3.07
3887.765,27.565,26.919,2.856
3888.659,31.982,27.166,2.499
3889.556,29.748,28.155,2.386
3890.451,29.972,25.975,2.839
3891.348,25.308,22.07,3.546
3892.243,28.933,22.965,4.096
3893.141,35.7,31.48,4.255
3894.036,48.101,43.955,4.127
3894.934,68.259,63.756,4.171
3895.83,84.395,92.303,4.2
3896.726,105.598,115.301,4.164
3897.625,128.832,127.953,3.969
3898.522,126.076,134.565,3.978
3899.421,131.699,134.617,4.525
3900.318,119.841,120.592,4.858
3901.217,97.664,89.655,4.777
3902.115,70.852,56.231,4.616
3903.012,41.865,34.037,4.843
3903.912,25.615,22.823,5.381
3904.81,28.389,18.893,6.082
3905.711,26.963,18.828,6.98
3906.609,19.179,19.132,7.839
3907.51,20.487,17.86,8.021
3908.409,26.204,22.501,7.906
3909.308,23.529,21.88,8.316
3910.21,24.469,21.979,8.46
3911.109,26.92,25.243,7.869
3912.011,27.175,27.537,7.241
3912.911,31.103,28.511,7.296
3913.813,35.012,31.324,7.441
3914.714,31.241,30.101,7.065
3915.614,27.787,28.477,6.587
3916.517,25.992,27.862,6.16
3917.418,29.551,25.857,5.824
3918.322,27.266,22.103,5.894
3919.223,26.565,18.455,6.189
3920.127,28.133,15.298,6.113
3921.029,26.122,14.834,5.293
3921.931,23.179,15.712,4.183
3922.835,24.297,17.137,3.694
3923.737,21.094,22.796,4.097
3924.642,27.197,23.7,4.734
3925.545,25.954,27.936,4.795
3926.45,27.224,28.943,4.449
3927.354,29.567,27.099,3.988
3928.257,31.515,29.109,3.679
3929.163,31.525,32.502,3.799
3930.067,29.869,28.806,4.174
3930.973,29.162,28.164,4.41
3931.877,28.851,28.935,4.392
3932.784,29.672,29.509,4.129
3933.689,28.372,30.059,3.765
3934.594,28.599,28.311,3.632
3935.501,26.503,29.052,3.707
3936.406,29.001,30.491,3.728
3937.314,27.972,31.433,3.497
3938.22,26.425,30.687,3.506
3939.128,28.306,27.574,4.302
3940.034,28.465,23.24,5.538
3940.941,28.816,18.694,6.558
3941.849,25.904,19.695,7.128
3942.756,32.297,21.046,7.194
3943.665,23.781,20.272,7.27
3944.573,26.744,19.561,7.548
3945.482,25.332,19.99,7.54
3946.39,23.245,22.408,7.007
3947.298,24.693,26.287,6.329
3948.208,25.241,27.77,5.979
3949.116,27.134,28.344,6.08
3950.027,25.11,31.296,5.993
3950.936,27.09,33.79,5.816
3951.847,33.549,35.353,6.126
3952.756,35.287,33.374,6.309
3953.665,30.745,33.441,5.748
3954.577,32.102,37.277,4.931
3955.487,37.267,40.159,4.488
3956.399,37.133,37.963,4.593
3957.309,34.547,38.088,4.367
3958.221,35.096,38.124,3.616
3959.132,30.576,35.716,3.831
3960.045,31.516,34.075,4.736
3960.956,33.169,35.24,5.266
3961.867,35.359,33.298,4.859
3962.781,31.219,33.26,4.053
3963.692,28.663,32.127,3.416
3964.606,28.977,29.886,3.157
3965.518,30.172,28.268,3.166
3966.433,32.062,27.788,3.39
3967.345,31.893,26.059,3.376
3968.258,27.617,21.591,2.805
3969.173,25.599,19.709,2.205
3970.086,26.272,20.59,2.12
3971.002,24.604,22.408,2.617
3971.915,24.301,22.291,3.242
3972.831,24.801,18.04,3.786
3973.745,25.004,18.826,4.271
3974.659,26.001,20.548,4.739
3975.576,27.103,23.499,4.99
3976.49,26.624,26.446,5.029
3977.407,27.964,27.736,5.211
3978.322,31.664,30.345,5.349
3979.24,29.215,33.586,5.304
3980.155,30.094,35.101,5.353
3981.071,33.818,37.354,5.399
3981.989,33.837,37.382,5.035
3982.905,36.852,34.036,4.604
3983.823,36.874,37.575,4.94
3984.74,34.007,40.357,5.714
3985.659,37.647,39.244,5.53
3986.576,31.539,39.171,4.648
3987.493,29.5,39.75,4.523
3988.412,38.493,37.547,5.136
3989.33,33.455,35.437,5.291
3990.25,32.668,34.442,5.005
3991.168,29.549,34.221,4.945
3992.088,36.176,37.774,5.06
3993.006,40.982,40.225,5.071
3993.925,35.493,36.881,4.857
3994.846,34.443,36.075,4.486
3995.765,28.731,34.633,4.105
3996.686,33.201,33.497,3.896
3997.606,37.646,36.265,3.963
3998.528,29.117,37.425,4.551
3999.447,31.068,33.492,5.271
4000.368,31.715,35.908,5.713
4001.29,31.14,32.3,5.676
4002.211,30.358,32.127,5.173
4003.133,29.309,31.699,4.779
4004.054,30.045,30.194,4.8
4004.978,27.282,30.002,4.885
4005.899,30.066,27.035,4.604
4006.821,28.753,23.685,4.909
4007.745,22.794,23.561,6.042
4008.666,27.871,22.117,6.989
4009.591,29.189,20.375,7.488
4010.513,29.959,21.705,7.202
4011.438,26.53,21.396,6.771
4012.361,22.368,20.296,6.949
4013.284,26.967,18.133,7.275
4014.209,23.632,19.458,7.149
4015.133,24.666,22.893,6.681
4016.059,26.018,24.037,6.199
4016.983,22.672,25.27,5.734
4017.909,29.569,28.475,5.469
4018.833,33.833,31.194,5.89
4019.758,32.862,33.045,6.611
4020.685,34.858,34.406,7.159
4021.61,35.587,35.726,7.279
4022.537,30.86,37.383,6.96
4023.462,30.7,37.693,6.452
4024.39,34.302,39.131,5.851
4025.316,32.617,38.517,5.713
4026.242,34.674,37.509,5.857
4027.171,30.09,39.41,5.661
4028.097,28.504,40.264,5.258
4029.026,35.166,42.018,5.396
4029.953,37.262,40.18,5.989
4030.882,35.42,39.848,5.883
4031.809,36.968,41.554,5.079
4032.739,35.519,41.111,5.084
4033.667,35,39.498,5.197
4034.595,34.734,40.437,4.943
4035.525,29.3,39.84,4.806
4036.453,31.252,38.076,5.139
4037.384,38.583,38.36,5.649
4038.313,41.267,41.017,5.948
4039.244,35.732,41.014,5.815
4040.173,31.65,42.755,5.737
4041.103,33.985,42.859,6.163
4042.035,35.421,44.446,6.933
4042.965,39.058,46.556,7.865
4043.897,42.238,45.67,8.196
4044.827,36.091,45.12,8.585
4045.76,37.237,48.82,10.987
4046.691,40.613,49.195,14.705
4047.622,40.409,44.304,16.235
4048.555,38.278,40.129,13.926
4049.486,33.438,40.203,9.963
4050.42,32.166,37.325,7.652
4051.352,36.582,40.249,7.44
4052.286,32.243,39.114,7.1
4053.218,32.851,37.719,5.554
4054.151,35.059,38.275,6.125
4055.086,32.001,37.733,7.135
4056.019,32.946,35.927,5.965
4056.954,34.701,36.353,5.059
